Influencer_ID,Image,Post_Number,Following_Number,Follower_Number,Introduction,Menu,Date_Joined,Country
thedodo,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/290844955_170408392124663_9141513157853631132_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=YqvupVyf_fAAX-fMBCm&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT955cDuYTODbLccHS2A1no_m9r6atlVkFoMFDRZVxWopQ&oe=634BE12B&_nc_sid=8fd12b,9098,6475,10.7M,"The Dodo
Shop #thedodo at Walmart 🛒✨
thedo.do/ig-shop",Shop 🛒;Adopt Me! 🐶🐱;Fetch;DodoVet 🩺;✨Best Stories✨;Hello Monday!;Takeover!;Teammates;Pet Questions ⁉️;Help 🇺🇦🐾;Pop Quiz Friday;Disney XD;Pit Bull month!,November 2013,United States
bbcearth,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/301395020_1151842195541997_4420037161469564251_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=eSdH_mLBElkAX9t2UFt&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_D9V24eHOD1JdDCKlrCBEs6qx-r9SugKnuJWsXB-DKTQ&oe=634C0E53&_nc_sid=8fd12b,6286,414,9.5M,"BBC Earth
BBC Earth brings you face to face with nature, science & space 💚
This is a commercial channel from BBC Studios.
www.bbcearth.com/instagram",Soundscapes;Reclaimed;Plants as Food;Botany Quiz;Fractals;Orchids;🌻;Wallpapers;🐺;Lemurs;🌊🌺;🐝🏠;🦦,May 2014,United Kingdom
catloversclub,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/12531086_1548603552116704_2072020831_a.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=pA8Ms3EYyuMAX-MyVHU&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_uTybYfML-DsBxh1GQ1F8P4-etXBzCuVa-uF2H3cobBQ&oe=634C241B&_nc_sid=8fd12b,8606,11,5.4M,"Cat Lovers Club
Personal blog
Business Inquiries/Removal/Credits:
PetsLoversClub@gmail.com💌
effods.com/pet-portable-backpack",,January 2015,Not shared
dog,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/34737665_193718501458191_5246581218132099072_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=_kv2nLCiSLIAX__ZVgu&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8Y8cosEj2Qh06Ygh635_NRISDJUavOiKn1AbdHySMNaQ&oe=634B4B75&_nc_sid=8fd12b,2099,53,2.6M,"@DOG
Pet Supplies
we post the best dog videos 🐶
Custom Bracelet 👇
wearfelicity.com/bracelet",,,
animalsdoingthings,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/26427690_1989136328074551_7369585850352402432_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=SKfGw5z3VPIAX-Leq0h&tn=upOtrD9k-lI7oMLC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8iZWAGL5sThqFBKyJQPkc1DSoV3sWufHgUqS96p4lbZg&oe=634AB675&_nc_sid=8fd12b,4659,119,5.1M,"Animals Doing Things
Submit your animal videos👇
doingthings.media/s/animalsdoingthings",,May 2017,United States
natgeowild,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/293640138_430948235594114_5165667609595163613_n.jpg?_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=WTsUpgjZ2BMAX-VMkof&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9jo9DSkySES-XkQ35yuryeTt-TGlDqyzIG-n5skobnlw&oe=634BBBAA&_nc_sid=8fd12b,6144,79,12.6M,"Nat Geo WILD
Nat Geo WILD is a network all about animals & nature from National Geographic.
natgeotv.com",🌎TheBeautiful;Quizzes;👁 🐆 JEL;Leopards ‘21;HUMMINGBIRDS;Leopards 🐆;Lone Star Vet;Croc Week 🐊;Jack Randall;YellowstoneLive;Earth Day '19;SHARKS!;Dr. Pol’s Polls,January 2014,United States
barked,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/30076484_164822200872707_7758561182717313024_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=7dyrcDDekjgAX-wOMuM&tn=upOtrD9k-lI7oMLC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-qafeC4AD-gso_Mp7MTWn6cB8HYgzU8JLI8ooxCXngmw&oe=634BB2FB&_nc_sid=8fd12b,7217,6,5.6M,"Barked by 9GAG | Dog community
A community for dog lovers around the world 🐕💛
✨Want us to feature your dog?
👇🏻Join “The Barked Club” and post something now!
barked.com",PUP-O-WEEN 22’;Spoil Your Dog;Dog at Work;PUP-O-WEEN;Rescue Dogs;Merchandise;BMVIPC;Dog Day 20’;Pavlov takeover;good boy;Tofu_Corgi;Miss Poppet;whatthefluff,August 2013,Hong Kong
luna_the_pantera,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/120297278_3889641221052605_1545482588343495711_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=8RZIo0DYRwYAX9fCtV_&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-wifHWHECb6_W6rQLZn7I07j3F_tQrY_AWliplqcZsUQ&oe=634BB1C7&_nc_sid=8fd12b,199,71,2M,"Luna
Personal blog
🐆 Luna,Venza and me 🐕🌲
🍀 Collaboration @luna_the_pantera.pr
❤️ YouTube Channel 👇🏼
youtube.com/c/Lunathepantera",Wallpapers;Telegram;Donation ❤️;История Луны;Luna’s story.;😍😍😍;Нежности💗;Смешнюля;Прогулочки🌲,,
snowhoney3ohagi,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/283243486_5163906280334090_8082306019344895208_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=x_cFHb-VywwAX8bzrX4&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8otY2WmW4fR1MDPX1RWfrUJqCLVBJTyoiSyzGpyqdN0g&oe=634C4825&_nc_sid=8fd12b,1541,246,1.4M,"石田ゆり子　Yuriko Ishida
雪、ハニタビ、はちみつ兄弟、バンビとの暮らし。
飼い主のいない犬と猫に医療支援をする仕組みを作るプロジェクト
@hanako_project 🐈‍⬛🐕🐈
人間多めのアカウントは
@yuriyuri1003
www.yuriko-ishida.com",ゆりごろう王国;ちびた🍼;雪　stay 🏡 home;ステイホーム,August 2018,Japan
varun.aditya,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/161348695_546090456364386_4246130383627305797_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=5U3lHN2rAfcAX-c9lu_&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-fNAy9LDGwP16IGFTGG6YBGPt9rfVDENLECdx_O9a9Sw&oe=634ABBF7&_nc_sid=8fd12b,2395,1585,2.4M,"Varun Aditya
Photographer
Natgeo Nature Photographer of the year 2016
One on One Private photography tour mentor
Automotive Enthusiast
Content Creator
Sony Ambassador
தமிழன்",BTS and me;Stay Collabs;Do this ❤️;QnA;Tips&Facts;Timcook’s Tweet;LEARN FROM ME;Apple:Billboard,,
thedogist,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/43507972_1969836609975957_1114188836696489984_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=6sAdU-bjVI4AX8RJnKH&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9FJ_X-qZ70RLjagkINT9QXLGqr9rk1iKlUg8U4AuVpcA&oe=634B97D2&_nc_sid=8fd12b,8454,16,4.5M,"The Dogist
Artist
The story of dogs.
Photographed by @EliasWF
NYT Bestseller of THE DOGIST & PUPPIES
Shop: @thedogistshop
Podcast: @thedogistpodcast
info@thedogist.com
linktr.ee/TheDogist",Cunucu Rescue;PRIDE 🏳️‍🌈;Westminster;Tennessee;Socialization;Puppy Raising;Demetri & Champ;Surf Dog;The Dogist Fund;Holiday Fund 🎄;Sal’s Story;Giving Tuesday;#rescuemonth,October 2013,United States
dogsofinstagram,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/277644635_343552067736942_4886615148667548769_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=zsK56evQFj0AX9sas2s&tn=upOtrD9k-lI7oMLC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8QetlLolZgVoDRsJ2iQAI24St5YjaAoyKCdGt4OJj5rQ&oe=634C7D16&_nc_sid=8fd12b,7911,641,5.4M,"DogsOf // Great Pet Living
Community
Bringing together the dogs of Instagram 🐾
Donate to Hurricane Ian Animal Rescue & Relief ❤️‍🩹, Submit to be featured, Take Pup Quizzes, and more ⤵️
addtocarrot.com/dogsofinstagram",Submit 📸;SuperZoo 🐾;Giveback ❤️‍🩹;Back to School;RedBubble;Beat the Heat!;Silver Honey;Dandy;Quizzes;Embark;🇺🇦;Great Pet Shop;SMARTMOUTH,July 2011,United States
my_aussie_gal,https://instagram.fagc3-1.fna.fbcdn.net/v/t51.2885-19/157332876_162359152369963_6840584491276065648_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=6JLhbfzBDGYAX8ctx0g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT943l1_heUxAFCLXdc0Nya2t2jI2v26ulm9M_hKQzZXZg&oe=634C55AC&_nc_sid=8fd12b,860,620,1.2M,"Mary & Secret
Best friends❤️ In loving memory
Secret the Australian Shepherd 😇🐾
and Mary the girl 👩🏻‍🦰
Teaching each other✨
gofund.me/7bb4d59d",,March 2015,United States
thedarksideofnature,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/148274270_128188965844649_733641310277608615_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=Rml_lOq_1SgAX_YElCc&tn=upOtrD9k-lI7oMLC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-Zt9CyoJb9idSmVnsDqv6sPy8AMFDZZHQbA0Axmyk0rg&oe=634C2758&_nc_sid=8fd12b,197,1502,2.2M,"The Dark Side of Nature
Follow me to see the darker side of nature
linktr.ee/thedarksideofnature",Shout Outs;Dark Sols NFT;Summer MMXXI;Winter MMXX,November 2017,United States
weratedogs,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/309989031_369786381940013_2775034695234438169_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=TmPm8QWn_OEAX8G8ZJT&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-jEreF3pk-o68582fK0SpCOdDdBG_7uHQVv612U9PHlw&oe=634AE53F&_nc_sid=8fd12b,2929,29,2.4M,"WeRateDogs®
Religious organization
Your Only Source For Professional Dog Ratings
DM or tag us to submit your pups 🐶📲
Nonprofit: @1510foundation
All our links ⬇️
links.weratedogs.com",Trupanion;15/10 ❤️‍🩹;Dog Texts;Fundraising,November 2015,United States
thehilarious.ted,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/76968569_1014317552261045_5233940820142325760_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=rXYMppipuW0AX_66KY3&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9avzlLPEVvoXgUNoGU8BavM15nKoc1GYvwzogTEszTXQ&oe=634B124D&_nc_sid=8fd12b,1573,22,2.2M,"Ted
Entrepreneur
The home of the best animal voiceovers and memes.
www.southboundgifts.com/products/harry-potter-wand-can-launch-fireballs",,April 2013,Not shared
dogs.lovers,https://instagram.fagc3-1.fna.fbcdn.net/v/t51.2885-19/310808191_500102878794360_2416623350488077361_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=FK3KB290LL4AX-Ykx0z&tn=upOtrD9k-lI7oMLC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-OQ-CfFJuwXTDWjqtOY1hFSgrlVbI7-sWTfeEdHP0CWA&oe=634C510E&_nc_sid=8fd12b,1727,4881,6.6M,"DOGS LOVERS
DOGS
Email: daniel@pets-media.com
Submit your dog's video 👇
viralpets.co/collections/show-off-your-pet/products/submit-a-video-of-your-dog",,February 2014,Not shared
mayapolarbear,https://instagram.fagc3-1.fna.fbcdn.net/v/t51.2885-19/40467556_2144512145622698_7063281169487364096_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=OKvQI6yxp8QAX83WWZZ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8ba0zKVk3vRP8FDbxMbzO3qzJb6KCG8fD7Tbtodz4cWw&oe=634B4517&_nc_sid=8fd12b,551,271,1.9M,"MAYA THE SAMOYED ʕ ᵔᴥᵔ ʔﾉ♡
Public figure
Two bears spreading floof & happiness 🌈✨
🐻‍❄️ Maya | Samoyed
🐻 Michi | Rescue pup
🍿 New YouTube Video ⇩
beacons.ai/mayapolarbear",Wallpapers 🌸;Funny 😂;Precious ❤️;Diet 🍉;Recipes ✨;Fan Art 🎨;Q&A;YouTube;Mini Maya,January 2014,Not shared
shaazjung,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/94476895_3626181627452449_2238698664488861696_n.jpg?stp=dst-jpg_s320x320&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=5v0GSZTQAeUAX_O0GlJ&tn=upOtrD9k-lI7oMLC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_HO5rinxucorYPImdPM7V8F665TDFSy51z-IAJIq68rQ&oe=634C2F95&_nc_sid=8fd12b,788,493,1.3M,"Shaaz Jung
Artist
Nikon & Samsung Ambassador, NatGeo WILD Contributor, Director of Photography for a NatGeo film, Owner of @thebisonkabini
shaazjung.com/prints",Samsung;Fine Art Prints;Wildlife & Art;Africa;Kabini;Nat Geo Top 5;Here & There;Q&A;The Elements;Join Me;Light & Shadows;Project Panther,July 2014,India
